release_date,title,main_director,soup
2015-06-17,Minions,kylebalda,assist aftercreditssting duringcreditssting evilmastermind minion 3d sandrabullock jonhamm michaelkeaton kylebalda family animation adventure comedy
2017-05-30,Wonder Woman,pattyjenkins,dccomic hero greekmytholog island worldwari superhero basedoncom superheroin perioddrama heroin superpow womandirector 1910 dcextendedunivers galgadot chrispine robinwright pattyjenkins action adventure fantasy
2017-03-16,Beauty and the Beast,billcondon,franc magic castl fairytal music curs anthropomorph creatur heldcapt gothic 18thcenturi beast 3d emmawatson danstevens lukeevans billcondon family fantasy romance
2017-06-28,Baby Driver,edgarwright,robberi atlanta music crimeboss romanc tinnitu carchas car getawaydriv anselelgort lilyjames kevinspacey edgarwright action crime
2014-10-24,Big Hero 6,chriswilliams,brotherbrotherrelationship hero talent reveng bestfriend anotherdimens robot boygeniu hate aftercreditssting moraldilemma 3d teensuperhero deadbroth scottadsit ryanpotter danielhenney chriswilliams adventure family animation action comedy
2016-02-09,Deadpool,timmiller,antihero mercenari marvelcom superhero basedoncom breakingthefourthwal aftercreditssting duringcreditssting selfheal ryanreynolds morenabaccarin edskrein timmiller action adventure comedy
2017-04-19,Guardians of the Galaxy Vol. 2,jamesgunn,sequel superhero basedoncom misfit space outerspac aftercreditssting duringcreditssting chrispratt zoesaldana davebautista jamesgunn action adventure comedy sciencefiction
2009-12-10,Avatar,jamescameron,cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweaver jamescameron action adventure fantasy sciencefiction
2014-10-22,John Wick,chadstahelski,hitman russianmafia reveng murder gangster dog retir widow keanureeves michaelnyqvist alfieallen chadstahelski action thriller
2014-10-01,Gone Girl,davidfincher,basedonnovel marriagecrisi disappear cheatinghusband missingperson searchparti criminallawy wifemurd murdersuspect missingwif benaffleck rosamundpike carriecoon davidfincher mystery thriller drama
2014-11-18,The Hunger Games: Mockingjay - Part 1,francislawrence,resist post-apocalypt dystopia war sequel femaleprotagonist bowandarrow game futurewar revolt classprejudic humansubjug basedonyoungadultnovel jenniferlawrence joshhutcherson liamhemsworth francislawrence sciencefiction adventure thriller
2017-07-11,War for the Planet of the Apes,mattreeves,basedonnovel sequel talkinganim ape andyserkis woodyharrelson stevezahn mattreeves drama sciencefiction war
2016-04-27,Captain America: Civil War,anthonyrusso,civilwar war marvelcom sequel superhero basedoncom imax aftercreditssting duringcreditssting marvelcinematicunivers 3d chrisevans robertdowneyjr. scarlettjohansson anthonyrusso adventure action sciencefiction
1994-09-10,Pulp Fiction,quentintarantino,transport brothel drugdeal boxer massag stolenmoney crimeboss dancecontest junkyard kamikaz ambiguousend briefcas redempt heirloom pulpfict referencetoalgreen theft brutal johntravolta samuell.jackson umathurman quentintarantino thriller crime
2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,joachimrønning,sea ship sequel artifact treasuremap pirat perioddrama monkey swashbuckl ghost caribbean trident johnnydepp javierbardem geoffreyrush joachimrønning adventure action fantasy comedy
2008-07-16,The Dark Knight,christophernolan,dccomic crimefight secretident scarecrow sadism chao gothamc vigilant joker superhero basedoncom tragichero organizedcrim criminalmastermind districtattorney imax supervillain superpow batman christianbale michaelcaine heathledger christophernolan drama action crime thriller
1982-06-25,Blade Runner,ridleyscott,artificialintellig bountyhunt dystopia genet fugit cyberpunk losangel technoir neo-noir futurista lluvia harrisonford rutgerhauer seanyoung ridleyscott sciencefiction drama thriller
2012-04-25,The Avengers,josswhedon,newyork shield marvelcom superhero basedoncom alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers robertdowneyjr. chrisevans markruffalo josswhedon sciencefiction action adventure
2017-06-01,Captain Underpants: The First Epic Movie,davidsoren,underwear school princip gradeschool kevinhart edhelms thomasmiddleditch davidsoren action animation comedy family
2017-04-27,The Circle,jamesponsoldt,technolog videosurveil compani crimin smartphon emmawatson tomhanks johnboyega jamesponsoldt drama thriller sciencefiction
2017-06-23,The Bad Batch,analilyamirpour,amput kidnap post-apocalypt dystopia exil drugus cannib cultlead sukiwaterhouse jasonmomoa jaydafink analilyamirpour thriller romance sciencefiction
2014-09-10,The Maze Runner,wesball,basedonnovel maze post-apocalypt dystopia escap memoryloss erasedmemori trap dystopicfutur runner basedonyoungadultnovel dylano'brien kihonglee kayascodelario wesball action mystery sciencefiction thriller
2014-06-26,Dawn of the Planet of the Apes,mattreeves,leader coloni post-apocalypt dystopia forest sequel wood ape scientist monkey medicalresearch animalattack plagu 3d andyserkis jasonclarke garyoldman mattreeves sciencefiction action drama thriller
2017-05-09,Alien: Covenant,ridleyscott,android spacetravel alienlife-form infect egg engin sequel spaceship space alien gore outerspac robot scientist genocid creation biologicalexperi acid xenomorph alientechnolog geneticmut michaelfassbender katherinewaterston billycrudup ridleyscott horror sciencefiction thriller
2017-03-29,Ghost in the Shell,rupertsanders,philosophi cyborg hacker strongwoman investig suspens femaleprotagonist cyberpunk terror evolut dystopicfutur network 3d basedonanim innerjourney prosthesi scarlettjohansson michaelpitt pilouasbæk rupertsanders action sciencefiction thriller
2016-08-01,Boyka: Undisputed IV,todorchapkanov,prison wife sport fight accidentaldeath scottadkins teodoraduhovnikova alonaboutboul todorchapkanov thriller action crime
2014-10-10,Whiplash,damienchazelle,jazz obsess conservatori musicteach newyorkc violenc montag drummer publichumili jazzband youngadult musicschool milesteller j.k.simmons melissabenoist damienchazelle drama
1999-10-15,Fight Club,davidfincher,supportgroup dualident nihil rageandh insomnia dystopia violenc edwardnorton bradpitt meatloaf davidfincher drama
2017-08-18,What Happened to Monday,tommywirkola,chase falseident overpopul investig betray conspiraci execut dystopicfutur populationcontrol septuplet noomirapace marwankenzari christianrubeck tommywirkola sciencefiction thriller
2017-07-07,Wish Upon,johnr.leonetti,magic wishfulfil joeyking ryanphillippe sherilynfenn johnr.leonetti fantasy horror thriller
2017-10-25,Thor: Ragnarok,taikawaititi,marvelcom sequel superhero basedoncom femalevillain norsemytholog marvelcinematicunivers norsegod chrishemsworth tomhiddleston cateblanchett taikawaititi action adventure fantasy sciencefiction
2017-02-28,Logan,jamesmangold,cyborg experi self-destruct mutant futur dystopia immort marvelcom sequel superhero basedoncom scientificexperi superpow neo-western troubledpast lifeonthemargin hughjackman patrickstewart dafnekeen jamesmangold action drama sciencefiction
2014-07-30,Guardians of the Galaxy,jamesgunn,marvelcom spaceship space outerspac orphan adventur aftercreditssting duringcreditssting marvelcinematicunivers chrispratt zoesaldana davebautista jamesgunn action sciencefiction adventure
2017-06-15,47 Meters Down,johannesroberts,dive sistersisterrelationship sharkattack cage shark trappedunderwater  claireholt mandymoore chrisjohnson johannesroberts drama thriller horror adventure
1994-09-23,The Shawshank Redemption,frankdarabont,prison corrupt policebrut prisoncel delinqu paroleboard escapefromprison wrongfulimprison framedformurd 1940 timrobbins morganfreeman bobgunton frankdarabont drama crime
2016-02-12,The Last King,nilsgaup,civilwar norway kingdom vike snow vike kristoferhivju jakoboftebro pålsverrehagen nilsgaup action adventure drama
2017-08-03,The Dark Tower,nikolajarcel,gunsling basedonnovel idriselba matthewmcconaughey tomtaylor nikolajarcel action western sciencefiction fantasy horror
2017-02-08,John Wick: Chapter 2,chadstahelski,itali gun roof parti sequel handshak keanureeves common laurencefishburne chadstahelski thriller action crime
2017-04-12,The Fate of the Furious,f.garygray,submarin sequel betray fastcar rescuemiss newyorkc criminalmastermind mysteriouswoman 3d vindiesel jasonstatham dwaynejohnson f.garygray action crime thriller
1994-07-06,Forrest Gump,robertzemeckis,vietnamveteran hippi mentallydis run basedonnovel vietnam vietnamwar friendship love familyrelationship bulli mothersonrelationship militari hug shrimp woundedsoldi flashback parkbench ampute tomhanks robinwright garysinise robertzemeckis comedy drama romance
2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,goreverbinski,exoticisland blacksmith eastindiatradingcompani gold marriagepropos mutini jamaica skeleton daughter governor woodeney goldcoin pirat alcohol swashbuckl caribbean aftercreditssting pirateship capuchinmonkey tortuga johnnydepp geoffreyrush orlandobloom goreverbinski adventure fantasy action
2017-03-04,Security,alaindesrochers, antoniobanderas benkingsley liammcintyre alaindesrochers action
2016-06-29,The Legend of Tarzan,davidyates,africa feralchild tarzan jungl animalattack alexanderskarsgård margotrobbie christophwaltz davidyates action adventure
2017-04-27,King Arthur: Legend of the Sword,guyritchie,sword kingarthur perioddrama 3d charliehunnam astridbergès-frisbey judelaw guyritchie action drama fantasy
2016-10-25,Doctor Strange,scottderrickson,magic marvelcom superhero basedoncom sorcer doctor neurosurgeon wizard aftercreditssting duringcreditssting marvelcinematicunivers benedictcumberbatch chiwetelejiofor rachelmcadams scottderrickson action adventure fantasy sciencefiction
2016-08-02,Suicide Squad,davidayer,dccomic sharedunivers antihero secretmiss villain superhero supervillain dcextendedunivers willsmith margotrobbie joelkinnaman davidayer action adventure crime fantasy sciencefiction
